url_pattern,view_symbol,urls_file,view_file,kind,decorators,drf_permission_classes,bases,roles_required,login_gated,role_gated,permission_gated,has_inline_auth_check,auth_mixin_gated,rbac_allow_reason,candidate_anonymous,unresolved
workflow/<str:workflow_key>/,views_workflow.WorkflowWizardView.as_view,apps/academics/urls.py,apps/academics/views_workflow.py,class,login_required,,View,,1,0,0,0,0,,0,0
teacher/syllabi/,views_syllabus.teacher_syllabus_hub,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
teacher/syllabi/<int:subject_assignment_id>/builder/,views_syllabus.syllabus_builder,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
teacher/syllabi/<int:subject_assignment_id>/upload/,views_syllabus.syllabus_upload,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
teacher/syllabi/<int:subject_assignment_id>/submit/,views_syllabus.syllabus_submit,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
teacher/syllabi/<int:subject_assignment_id>/preview/,views_syllabus.syllabus_preview,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
teacher/syllabi/<int:subject_assignment_id>/clone/,views_syllabus.syllabus_clone,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
approval/syllabi/,views_syllabus.syllabus_approval_queue,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
approval/syllabi/<int:subject_assignment_id>/approve/,views_syllabus.syllabus_approve,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
approval/syllabi/<int:subject_assignment_id>/reject/,views_syllabus.syllabus_reject,apps/academics/urls.py,apps/academics/views_syllabus.py,func,login_required,,,,1,0,0,0,0,,0,0
,auth_root_redirect,apps/accounts/urls.py,apps/accounts/views.py,func,,,,,1,0,0,0,0,pre-auth dispatcher,0,0
login/,login_view,apps/accounts/urls.py,apps/accounts/views.py,func,ratelimit | trace_view('auth.login'),,,,1,0,0,0,0,login page must be anonymous-reachable,0,0
logout/,logout_view,apps/accounts/urls.py,apps/accounts/views.py,func,,,,,1,0,0,1,0,,0,0
